model_name,eval_dataset,score,score_
CohereForAI__c4ai-command-r-plus,ELYZA-tasks-100,3.75,7.5
CohereForAI__c4ai-command-r-plus,Rakuda,9.051282051282051,9.051282051282051
CohereForAI__c4ai-command-r-plus,Tengu-Bench,6.788135593220339,6.788135593220339
CohereForAI__c4ai-command-r-v01,ELYZA-tasks-100,3.04,6.08
CohereForAI__c4ai-command-r-v01,Rakuda,8.625,8.625
CohereForAI__c4ai-command-r-v01,Tengu-Bench,6.675,6.675
Nexusflow__Starling-LM-7B-beta,ELYZA-tasks-100,2.87,5.74
Nexusflow__Starling-LM-7B-beta,Rakuda,4.425,4.425
Nexusflow__Starling-LM-7B-beta,Tengu-Bench,5.408333333333333,5.408333333333333
Qwen__Qwen1.5-14B-Chat,ELYZA-tasks-100,3.35,6.7
Qwen__Qwen1.5-14B-Chat,Rakuda,6.545,6.545
Qwen__Qwen1.5-14B-Chat,Tengu-Bench,6.2,6.2
Qwen__Qwen1.5-32B-Chat,ELYZA-tasks-100,3.5454545454545454,7.090909090909091
Qwen__Qwen1.5-32B-Chat,Rakuda,7.512820512820513,7.512820512820513
Qwen__Qwen1.5-32B-Chat,Tengu-Bench,6.361344537815126,6.361344537815126
Qwen__Qwen1.5-72B-Chat,ELYZA-tasks-100,3.801980198019802,7.603960396039604
Qwen__Qwen1.5-72B-Chat,Rakuda,7.85,7.85
Qwen__Qwen1.5-72B-Chat,Tengu-Bench,6.808333333333334,6.808333333333334
Qwen__Qwen1.5-7B-Chat,ELYZA-tasks-100,2.77,5.54
Qwen__Qwen1.5-7B-Chat,Rakuda,4.82051282051282,4.82051282051282
Qwen__Qwen1.5-7B-Chat,Tengu-Bench,5.291666666666667,5.291666666666667
RWKV x060 14B Base,ELYZA-tasks-100,2.53,5.06
RWKV x060 14B Base,MT-Bench,3.9074074074074074,3.9074074074074074
RWKV x060 14B Base,Rakuda,4.2631578947368425,4.2631578947368425
RWKV x060 14B Base,Tengu-Bench,4.3277310924369745,4.3277310924369745
RWKV x060 14B ORPO Base,ELYZA-tasks-100,3.06,6.12
RWKV x060 14B ORPO Base,MT-Bench,4.983050847457627,4.983050847457627
RWKV x060 14B ORPO Base,Rakuda,5.472222222222222,5.472222222222222
RWKV x060 14B ORPO Base,Tengu-Bench,4.758333333333334,4.758333333333334
RWKV x060 14B ORPO Base bancho,ELYZA-tasks-100,3.73,7.46
RWKV x060 14B ORPO Base bancho,MT-Bench,6.423728813559322,6.423728813559322
RWKV x060 14B ORPO Base bancho,Rakuda,6.948717948717949,6.948717948717949
RWKV x060 14B ORPO Base bancho,Tengu-Bench,6.46218487394958,6.46218487394958
RWKV x060 3B Base,ELYZA-tasks-100,1.8,3.6
RWKV x060 3B Base,MT-Bench,2.462962962962963,2.462962962962963
RWKV x060 3B Base,Rakuda,3.7567567567567566,3.7567567567567566
