,Tengu-Bench,ELYZA-tasks-100,MT-Bench,mean,weighted_mean
RWKV x060 14B ORPO Base bancho,6.46218487394958,7.46,6.423728813559322,6.781971229169634,6.810306834598246
RWKV x060 7B ORPO Base bancho,5.957983193277311,6.9,6.105263157894737,6.32108211705735,6.3259777595248625
RWKV x060 14B ORPO Base,4.758333333333334,6.12,4.983050847457627,5.287128060263654,5.292796610169492
RWKV x060 7B ORPO Base,4.591666666666667,5.1,4.648148148148148,4.779938271604938,4.785317460317461
RWKV x060 14B Base,4.3277310924369745,5.06,3.9074074074074074,4.43171283328146,4.499186341203147
RWKV x060 7B Base,3.7916666666666665,4.26,3.087719298245614,3.7131286549707596,3.8080827067669176
RWKV x060 3B ORPO Base,3.7966101694915255,4.02,3.23728813559322,3.6846327683615816,3.7565375302663435
RWKV x060 3B Base,3.3445378151260505,3.6,2.462962962962963,3.1358335926963377,3.246865412831799
karakuri-ai__karakuri-lm-70b-chat-v0.1,6.233333333333333,6.86,,6.546666666666667,
lightblue__qarasu-14B-chat-plus-unleashed,5.008333333333334,5.575757575757576,,5.292045454545455,
meta-llama__Llama-2-13b-chat-hf,4.675,5.64,,5.1575,
Rakuten__RakutenAI-7B-chat,5.241666666666666,5.92,,5.580833333333333,
gpt-4-turbo-2024-04-09,8.308333333333334,8.78,,8.544166666666666,
Nexusflow__Starling-LM-7B-beta,5.408333333333333,5.74,,5.574166666666667,
openchat__openchat-3.5-0106,5.491666666666666,5.82,,5.655833333333334,
CohereForAI__c4ai-command-r-plus,6.788135593220339,7.5,,7.1440677966101696,
CohereForAI__c4ai-command-r-v01,6.675,6.08,,6.3774999999999995,
gpt-3.5-turbo-0125,6.816666666666666,7.24,,7.028333333333333,
Qwen__Qwen1.5-14B-Chat,6.2,6.7,,6.45,
lightblue__ao-karasu-72B,6.266666666666667,7.191919191919192,,6.72929292929293,
mistralai__Mistral-7B-Instruct-v0.2,4.533333333333333,5.78,,5.156666666666666,
lightblue__starlingbeta_cult_dsir_megagon_final,3.5546218487394956,4.96,,4.257310924369747,
cyberagent__calm2-7b-chat,4.808333333333334,4.9,,4.854166666666667,
lightblue__20240422,5.525,6.68,,6.1025,
elyza__ELYZA-japanese-Llama-2-13b-instruct,5.516666666666667,5.6,,5.558333333333334,
Qwen__Qwen1.5-7B-Chat,5.291666666666667,5.54,,5.4158333333333335,
gpt-4-turbo-preview,7.841666666666667,8.94,,8.390833333333333,
meta-llama__Llama-2-7b-chat-hf,3.9166666666666665,4.78,,4.348333333333334,
Qwen__Qwen1.5-32B-Chat,6.361344537815126,7.090909090909091,,6.726126814362108,
augmxnt__shisa-7b-v1,3.408333333333333,3.72,,3.564166666666667,
Qwen__Qwen1.5-72B-Chat,6.808333333333334,7.603960396039604,,7.206146864686469,
xverse__XVERSE-13B-Chat,4.883333333333334,6.34,,5.611666666666666,
